,Restaurant Name,Author,Review
1,White Fence Cafe,Cameron Lee,It’s 1030 on a Friday morning. Perfect time for a coffee. Google says that they’re open. Why are they closed? Food: 1 Service: 1 Atmosphere: 1
2,White Fence Cafe,Zoe Tui,Food: 5 Service: 5 Atmosphere: 5
3,White Fence Cafe,David Negosa,Price of food does not compensate quantity of food.
4,White Fence Cafe,Omato Amatis,Its can tell its a nice place from the out side lets wait when quarantine was done
5,White Fence Cafe,Maureen Dingwasen,Relaxing ambiance and music ..
6,White Fence Cafe,Marcos Douglas Simoes,Delicious carbonara pata ! The place is really clean and has a lovely decoration! I loved !
7,White Fence Cafe,Mea Aine Abdurajik - Montante,great food and cozy ambiance ????
8,White Fence Cafe,Pat cadorette,Probably one of the best burgers in Puerto Princesa! Authentic taste
9,White Fence Cafe,Roy Grimm,We had a great breakfast and 1 dinner there.. I loved their French toast.. Apples cinnamon butter maple sauce! Apple cashews salad was ok. Place is nice and coffee was good.
10,White Fence Cafe,Shawn Kim,"kindness. ripple softness. The churros are just average, so I don't think you need to order them. Four stars for opening the door even on Christmas"
11,White Fence Cafe,riven gabuco,Nice ambience and good filipino breakfast food
12,White Fence Cafe,Hili,The place is very cute and the staff are very friendly..
13,White Fence Cafe,tito duque,"Place was about average. Eating place was inadequate. Overall is about average, nothing extraordinary."
14,White Fence Cafe,Rhenj'z Vasquez,Good food and great staff.
15,White Fence Cafe,Wex Carlos,Great food and very nice ambiance ????
16,White Fence Cafe,Sander Andan,great ambiance good food ????????
17,White Fence Cafe,Luanne dela Cruz,"It's a very cute,instagrammable place"
18,White Fence Cafe,Maiah Sabijon - Letany,Cozy and good food
19,White Fence Cafe,Ivy Rose Escabillas Padilla,We always love to dine at white fence.. my kids and i are very much comfortable and at peace with the ambiance and ofcourse together with the great food.. great crew.. Perfect..
20,White Fence Cafe,Yogsc Cuerdo,"Well thought menu, great food and excellent service!"
